"Отметка времени","Я:","Возраст:","Есть ли у Вас комнатные растения?","Хотели бы Вы купить комнатное растение?","Хочу купить растение, почему?","Не хочу покупать растение, почему?","А может кактус? Прикольно выглядит, ухаживать не нужно","Сколько бы Вы максимум потратили на растение?"
"2018/03/29 10:46:14 PM GMT+3","Женщина","18-23","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 11:05:51 PM GMT+3","Женщина","18-23","Нет","Нет","","Надо ухаживать","Купил бы","200-400"
"2018/03/29 11:12:43 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 11:27:20 PM GMT+3","Женщина","38-45","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 11:54:50 PM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","2000+"
"2018/03/29 11:54:53 PM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","2000+"
"2018/03/30 11:21:52 AM GMT+3","Женщина","18-23","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/30 3:39:41 PM GMT+3","Мужчина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","200-400"
"2018/03/30 11:10:06 PM GMT+3","Женщина","16-17","Да","Да","Хочу украсить свой интерьер, не хватает зелени","","","1600-2000"
"2018/03/31 12:42:51 AM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","600-900"
"2018/03/31 2:37:26 PM GMT+3","Мужчина","30-37","Да","Нет","","Не интересно","",""
"2018/04/11 11:31:29 AM GMT+3","Женщина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","400-600"
"2018/05/02 3:09:09 PM GMT+3","Женщина","16-17","Да","Нет","","Надо ухаживать","Нет",""
"2018/05/02 3:09:35 PM GMT+3","Женщина","16-17","Да","Да","Поставлю себе на стол, буду любоваться и поливать","","","2000+"
"2018/05/18 3:30:02 PM GMT+3","Мужчина","38-45","Да","Да","Поставлю себе на стол, буду любоваться и поливать","","","1300-1600"
"2018/05/18 3:31:09 PM GMT+3","Мужчина","38-45","Да","Нет","","Надо ухаживать","Купил бы","1300-1600"
